Replicate,TFIDF_Hit1Macro,TFIDF_MRRMacro,MPNET_Hit1Macro,MPNET_MRRMacro
76,0.043976442915688335,0.1682176174713944,0.021806552351650944,0.14240557291260197
77,0.01796239224342687,0.14937690743330437,0.00725818642308558,0.16053200684783075
78,0.10605966478908836,0.21693188687552128,0.0805021175640932,0.19578911030196278
79,0.058744396070992244,0.17606042865145324,0.0575763130640004,0.19258347340566395
80,0.07851265484515108,0.1938510169126307,0.05313779100509618,0.15565020624980386
81,0.021789082890799123,0.1561124174265375,0.005801867029679339,0.14868002035522265
82,0.02644205295993541,0.16194266501951732,0.02103537271098715,0.1703085507881824
83,0.04046418570305238,0.16836796916507005,0.034721412395742335,0.15961062286912175
84,0.03625947832951564,0.1549765879100776,0.013354375740243639,0.12846465391088557
85,0.016036131141580364,0.14261560154498965,0.006769620704049353,0.12553274445914192
86,0.06841180523529465,0.17281314222857155,0.05718260802004944,0.174752293279869
87,0.00679736136663411,0.12200665942266611,0.002432712215320911,0.11575915797386475
88,0.06887613814783103,0.17942412359361795,0.10739090207302404,0.2240335444442384
89,0.04960018579252618,0.1784455023262264,0.05178178784768627,0.14930893813865215
90,0.011929555104079908,0.12471036309998498,0.0018651397451293853,0.08972703932834028
91,0.0953322644460303,0.19615539779788538,0.08425116783069247,0.19616046323760966
92,0.09460898889723804,0.21057887492380334,0.06794138576903888,0.19694048809847184
93,0.04270473574326861,0.18715344452988808,0.049552698726652925,0.19809977034487936
94,0.00991923287653575,0.161504544073762,0.0008579208594486198,0.15605472927785416
95,0.017429646990126918,0.14283460816083912,0.01007505709070692,0.12395409913163075
96,0.012956943411048003,0.11814426858478437,0.007801327168146811,0.10125131930306479
97,0.04933296472949245,0.15460730497964228,0.03876715755892705,0.12842953017057435
98,0.07039511762836878,0.20170604209192503,0.04988653429549285,0.20817448031902383
99,0.07659489862027972,0.17654046292773717,0.052066919741784366,0.17403057079547457
100,0.06440951957358634,0.1939607812771884,0.03498876433509873,0.1938664858047307
101,0.021013371538427063,0.1268215597398981,0.015491067813795152,0.12567762626976361
102,0.07487430972479556,0.18579089640889496,0.06353807802605618,0.16237968907525707
103,0.1342085405969673,0.2888140594988116,0.1316300248890794,0.25295936719964557
104,0.04521160347226622,0.17898006000260566,0.013661650582846971,0.16508461646527983
105,0.009864393931102614,0.1406088352606952,0.060478254038075704,0.20028411281353872
106,0.0084025594637854,0.12038669413946437,0.003960927934379657,0.11353201773581834
107,0.042585595314379214,0.19654946840690543,0.04482177318083499,0.20352422618846852
108,0.021103282945658677,0.14763788788687063,0.02862066359777539,0.14822449210820784
109,0.02477286582279598,0.14563250441880382,0.020062789858536694,0.16313457922299623
110,0.06819770214179242,0.16387368819607107,0.04539998712632945,0.14976721878009244
111,0.010406372344200514,0.13649759456456503,0.0014561548339754175,0.11796730399176973
112,0.05623237847188513,0.16843564739994762,0.05120289762223003,0.15377770983319491
113,0.04762689154282473,0.16811629730086558,0.0422106712951834,0.1707034329853732
114,0.077032543928059,0.1971542745724257,0.061217079250875515,0.18745676653198293
115,0.12101697017280717,0.2507677823870136,0.11230556375659433,0.2279671024716472
116,0.07789030979112031,0.1888140791260047,0.052024339489304704,0.16143477499024456
117,0.003513527931239132,0.09680267073750433,0.012450944148287393,0.10230613395741806
118,0.023484585220430985,0.13926025915757373,0.020114941260020364,0.14727172852032128
119,0.07557015223670756,0.21930268137063616,0.04965420267006152,0.16730998056219182
120,0.05526829907892261,0.16473910898989577,0.05264985777067395,0.16198726474757008
121,0.010262871355192984,0.15053666409345398,0.005876605736215103,0.13495274152381267
122,0.004716182906272624,0.10079199416569574,0.0016816871676206715,0.10876778361486161
123,0.0249229803386527,0.17438989532012683,0.019653652905693753,0.18712668813717415
124,0.07643060925083316,0.22625618357185773,0.13236428382539484,0.24899211611146793
125,0.028715301710172482,0.14891356488836263,0.0022538459522499148,0.11015772438563247
