Method,Model,Metric,OriginalEligibleRuns,EvaluableReplicates,AllNAReplicates,AllNARate,Mean,Median,SD,P025,P975,Min,Max
TFIDF,Mistral,MRR,9,2000,0,0.0,0.7301038572017579,0.7298426028847753,0.019796536429666445,0.6941740201900866,0.7682011878825604,0.6748652053413958,0.8093370681605977
TFIDF,Qwen3,Hit1,5,1998,2,0.001,0.5894990990400044,0.5892521175863545,0.044061764204750935,0.49895535714285716,0.6691967109424416,0.425,0.7096774193548387
TFIDF,Qwen3,MRR,5,1998,2,0.001,0.7103934154649325,0.7112960568842922,0.029248996357828298,0.6503195003756724,0.7610663165012487,0.6017460317460317,0.7853302611367128
MPNET,ChatGPT-4o,Hit1,10,2000,0,0.0,0.6860229016540117,0.6886686679359395,0.03795125529818993,0.6050043167636237,0.7533999390076983,0.5302992840090219,0.7858450582401107
MPNET,ChatGPT-4o,MRR,10,2000,0,0.0,0.7716763590423499,0.7744886727502791,0.03390891843692268,0.6963713575905885,0.8273517421189651,0.6257359241728028,0.8522605760812481
MPNET,ChatGPT-o3,Hit1,8,2000,0,0.0,0.6456313635539106,0.6443674465155265,0.022135523094830974,0.6083600556239724,0.6966356581897197,0.5846273291925466,0.7593167701863354
MPNET,ChatGPT-o3,MRR,8,2000,0,0.0,0.7332286562914038,0.7322714892701135,0.015311362551878337,0.7074205186852728,0.7670112508315511,0.6886379488230583,0.8069766144460354
MPNET,Claude3.7,Hit1,10,2000,0,0.0,0.5574497380680324,0.5575985367977356,0.013742200964304516,0.5309521139427973,0.5839671827913878,0.5143355019154502,0.6009843373969306
MPNET,Claude3.7,MRR,10,2000,0,0.0,0.6727154280168818,0.6728363306887384,0.010316205029168923,0.6525469784269217,0.6925297821040176,0.6402581329072408,0.7029035945249179
MPNET,DeepSeek(R1),Hit1,7,2000,0,0.0,0.5566475811991464,0.561704681872749,0.060785986674350784,0.4204009103641457,0.6554017857142854,0.28319327731092436,0.7285714285714285
MPNET,DeepSeek(R1),MRR,7,2000,0,0.0,0.6665340069532857,0.6697128995143237,0.0488454993988851,0.5546640097123782,0.7379924760579343,0.43839211798801514,0.7791525864425024
MPNET,Gemini-2.5-Pro-Preview-05-06,Hit1,8,2000,0,0.0,0.5761964912043933,0.5783968288448575,0.04047676783968671,0.48989787467610046,0.6481526284348865,0.4357931163486719,0.6666666666666666
MPNET,Gemini-2.5-Pro-Preview-05-06,MRR,8,2000,0,0.0,0.66870290166787,0.6702934658856248,0.029452175307653497,0.6078705258216112,0.7207978021729575,0.5649766816464811,0.7380906511788865
MPNET,Grok3,Hit1,2,1807,193,0.0965,0.7284140069601124,0.7283653846153846,0.030835699714955016,0.6875,0.7692307692307693,0.6875,0.7692307692307693
MPNET,Grok3,MRR,2,1807,193,0.0965,0.7924133824551599,0.7923970617741176,0.010350377436121383,0.7786800986842105,0.806114024864025,0.7786800986842105,0.806114024864025
MPNET,Llama4,Hit1,10,2000,0,0.0,0.6786547224904962,0.679386671157771,0.014964592116347675,0.6479967013485236,0.7050018180526493,0.617671568627451,0.719000361672996
MPNET,Llama4,MRR,10,2000,0,0.0,0.7525522170497878,0.7526245236343148,0.010968245977496845,0.7313159489421022,0.7744699350610231,0.7144431759545924,0.7860968134521293
MPNET,Mistral,Hit1,9,2000,0,0.0,0.692850132349236,0.6932046892831206,0.038663340463830034,0.6201866441020852,0.7657038982259569,0.5671957671957671,0.823529411764706
MPNET,Mistral,MRR,9,2000,0,0.0,0.7605574491131968,0.7608559923194549,0.021860419124814567,0.7184548433633463,0.80164585490754,0.6886066917395238,0.8344182477309413
MPNET,Qwen3,Hit1,5,1998,2,0.001,0.6217871919754377,0.6212749615975423,0.041166036460082524,0.5294117647058824,0.7023866608544028,0.5178571428571429,0.7419354838709677
MPNET,Qwen3,MRR,5,1998,2,0.001,0.7195409809921919,0.7201803244276743,0.02604202080925883,0.6649448848365257,0.7704640319344681,0.6496065598979133,0.7808836607648152
